Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_Customer,Days_Customer,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Year_Joined,Month_Joined,Day_Joined,Age_Group,Children,Partner,Education_Level
Master,Married,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,54,2,681,326,17,0,2012,August,Friday,Middel Aged,1,Yes,Postgraduate
PhD,Married,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,1,353,404,17,0,2013,July,Thursday,Middel Aged,1,Yes,Postgraduate
Graduation,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,43,1,350,95,6,0,2013,July,Sunday,Adult,0,No,Graduate
Graduation,Widow,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,65,0,111,939,14,2,2014,March,Monday,Senior Citizen,0,No,Graduate
2n Cycle,Single,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,36,1,183,33,5,0,2013,December,Saturday,Adult,1,No,Undergraduate
2n Cycle,Married,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,59,1,391,981,21,1,2013,June,Monday,Middel Aged,0,Yes,Undergraduate
Graduation,Married,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,38,1,525,36,7,0,2013,January,Sunday,Adult,1,Yes,Graduate
Graduation,Single,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,39,1,391,1237,20,0,2013,June,Monday,Adult,1,No,Graduate
Graduation,Together,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,54,2,646,1825,34,1,2012,September,Friday,Middel Aged,1,Yes,Graduate
PhD,Divorced,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,37,2,661,103,9,0,2012,September,Thursday,Adult,2,No,Postgraduate
Graduation,Single,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,37,2,558,191,12,0,2012,December,Tuesday,Adult,1,No,Graduate
PhD,Married,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,44,1,222,1586,25,0,2013,November,Tuesday,Adult,1,Yes,Postgraduate
PhD,Together,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,56,0,16,963,14,0,2014,June,Friday,Middel Aged,0,Yes,Postgraduate
2n Cycle,Married,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,44,0,165,889,26,0,2014,January,Wednesday,Adult,1,Yes,Undergraduate
2n Cycle,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,54,0,134,93,7,2,2014,February,Saturday,Middel Aged,0,No,Undergraduate
Graduation,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,41,1,437,1587,21,1,2013,April,Thursday,Adult,0,No,Graduate
Graduation,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,52,0,111,16,4,0,2014,March,Monday,Middel Aged,3,No,Graduate
Graduation,Single,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,62,1,390,1375,32,0,2013,June,Tuesday,Middel Aged,0,No,Graduate
Graduation,Married,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,52,1,537,393,14,0,2013,January,Tuesday,Middel Aged,1,Yes,Graduate
Master,Divorced,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,64,2,639,1477,26,1,2012,September,Friday,Middel Aged,1,No,Postgraduate
Graduation,Married,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,43,1,235,1179,18,1,2013,November,Wednesday,Adult,1,Yes,Graduate
Graduation,Together,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,54,2,632,1005,26,0,2012,October,Friday,Middel Aged,1,Yes,Graduate
PhD,Together,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,66,0,47,1348,21,0,2014,May,Tuesday,Senior Citizen,0,Yes,Postgraduate
PhD,Divorced,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,55,2,546,1307,23,0,2012,December,Sunday,Middel Aged,1,No,Postgraduate
Graduation,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,50,1,418,486,15,1,2013,May,Tuesday,Middel Aged,1,No,Graduate
Master,Together,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,67,1,476,2252,13,3,2013,March,Sunday,Senior Citizen,0,Yes,Postgraduate
PhD,Married,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,43,1,315,235,17,0,2013,August,Sunday,Adult,2,Yes,Postgraduate
Graduation,Together,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,44,1,524,1724,30,3,2013,January,Monday,Adult,0,Yes,Graduate
Master,Divorced,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,44,1,198,235,11,0,2013,December,Friday,Adult,1,No,Postgraduate
Master,Married,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,0,37,1092,28,0,2014,May,Friday,Adult,1,Yes,Postgraduate
Graduation,Together,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,56,1,286,599,17,0,2013,September,Monday,Middel Aged,1,Yes,Graduate
Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,54,0,132,2008,19,1,2014,February,Monday,Middel Aged,0,No,Postgraduate
Graduation,Together,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,29,2,671,48,6,0,2012,August,Monday,Adult,1,Yes,Graduate
Graduation,Married,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,40,2,686,1174,32,0,2012,August,Sunday,Adult,1,Yes,Graduate
PhD,Together,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,64,0,77,67,7,0,2014,April,Sunday,Middel Aged,1,Yes,Postgraduate
Graduation,Divorced,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,59,2,695,365,15,0,2012,August,Friday,Middel Aged,1,No,Graduate
Graduation,Divorced,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,142,6,0,0,2014,February,Friday,Adult,0,No,Graduate
Graduation,Together,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,61,0,176,165,10,0,2014,January,Saturday,Middel Aged,1,Yes,Graduate
2n Cycle,Together,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,56,2,645,210,11,0,2012,September,Saturday,Middel Aged,0,Yes,Undergraduate
PhD,Together,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,67,1,302,1095,26,0,2013,August,Saturday,Senior Citizen,1,Yes,Postgraduate
PhD,Single,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,48,1,251,223,12,1,2013,October,Monday,Middel Aged,3,No,Postgraduate
Graduation,Together,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,51,2,569,597,22,0,2012,December,Friday,Middel Aged,1,Yes,Graduate
Graduation,Married,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,29,1,227,22,4,0,2013,November,Thursday,Adult,1,Yes,Graduate
Graduation,Widow,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,39,1,186,1064,24,0,2013,December,Wednesday,Adult,1,No,Graduate
Basic,Married,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,34,2,660,74,6,0,2012,September,Friday,Adult,0,Yes,Undergraduate
Master,Together,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,58,1,544,26,5,0,2013,January,Tuesday,Middel Aged,0,Yes,Postgraduate
Graduation,Married,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,55,2,548,60,5,0,2012,December,Friday,Middel Aged,0,Yes,Graduate
PhD,Together,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,40,1,409,20,4,0,2013,May,Thursday,Adult,1,Yes,Postgraduate
Basic,Single,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,27,1,277,59,7,0,2013,September,Wednesday,Adult,1,No,Undergraduate
PhD,Married,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,46,1,416,34,5,0,2013,May,Thursday,Middel Aged,1,Yes,Postgraduate
2n Cycle,Married,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,43,1,234,198,12,0,2013,November,Thursday,Adult,2,Yes,Undergraduate
PhD,Married,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,50,1,335,1048,28,0,2013,July,Monday,Middel Aged,1,Yes,Postgraduate
Master,Single,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,52,1,233,574,21,0,2013,November,Friday,Middel Aged,2,No,Postgraduate
Graduation,Widow,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,44,2,655,1029,17,0,2012,September,Wednesday,Adult,1,No,Graduate
Graduation,Married,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,34,1,195,670,20,0,2013,December,Monday,Adult,1,Yes,Graduate
PhD,Single,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,39,2,575,990,16,0,2012,December,Saturday,Adult,1,No,Postgraduate
Graduation,Married,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,40,0,38,11,4,0,2014,May,Thursday,Adult,2,Yes,Graduate
PhD,Married,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,51,2,607,1241,21,2,2012,October,Tuesday,Middel Aged,1,Yes,Postgraduate
Graduation,Single,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,35,0,178,576,17,0,2014,January,Thursday,Adult,0,No,Graduate
2n Cycle,Married,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,29,1,378,172,12,2,2013,June,Sunday,Adult,1,Yes,Undergraduate
PhD,Single,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,34,1,188,664,20,0,2013,December,Monday,Adult,0,No,Postgraduate
Graduation,Divorced,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,51,1,254,928,23,0,2013,October,Friday,Middel Aged,1,No,Graduate
Graduation,Divorced,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,47,2,668,2074,30,0,2012,August,Thursday,Middel Aged,0,No,Graduate
2n Cycle,Together,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,32,1,339,467,15,0,2013,July,Thursday,Adult,0,Yes,Undergraduate
Graduation,Together,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,59,1,248,257,12,0,2013,October,Thursday,Middel Aged,1,Yes,Graduate
Graduation,Together,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,47,1,192,1146,17,0,2013,December,Thursday,Middel Aged,0,Yes,Graduate
PhD,Divorced,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,38,1,479,689,20,0,2013,March,Thursday,Adult,1,No,Postgraduate
PhD,Single,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,42,2,655,2114,22,1,2012,September,Wednesday,Adult,0,No,Postgraduate
PhD,Married,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,32,2,694,1717,44,0,2012,August,Saturday,Adult,0,Yes,Postgraduate
PhD,Together,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,25,0,44,1346,21,2,2014,May,Friday,Adult,0,Yes,Postgraduate
PhD,Together,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,45,1,272,1044,15,0,2013,September,Monday,Middel Aged,0,Yes,Postgraduate
PhD,Divorced,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,54,2,633,493,22,2,2012,October,Thursday,Middel Aged,1,No,Postgraduate
Graduation,Single,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,44,1,308,957,13,0,2013,August,Sunday,Adult,0,No,Graduate
Master,Together,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,56,1,352,270,12,0,2013,July,Friday,Middel Aged,1,Yes,Postgraduate
Basic,Together,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,62,1,239,29,5,0,2013,November,Saturday,Middel Aged,0,Yes,Undergraduate
Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,65,1,396,121,9,1,2013,May,Wednesday,Senior Citizen,2,No,Postgraduate
Master,Married,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,53,1,338,126,8,0,2013,July,Friday,Middel Aged,2,Yes,Postgraduate
Graduation,Single,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,19,0,95,23,4,0,2014,March,Wednesday,Young adult,0,No,Graduate
PhD,Single,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,65,1,447,57,8,1,2013,April,Monday,Senior Citizen,2,No,Postgraduate
Graduation,Single,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,53,1,238,636,20,0,2013,November,Sunday,Middel Aged,0,No,Graduate
Graduation,Together,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,54,0,81,1004,28,1,2014,April,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Divorced,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,41,1,285,734,20,0,2013,September,Tuesday,Adult,1,No,Graduate
Graduation,Married,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,36,0,109,614,20,0,2014,March,Wednesday,Adult,2,Yes,Graduate
Graduation,Divorced,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,36,0,138,1453,21,1,2014,February,Tuesday,Adult,1,No,Graduate
Master,Single,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,26,0,61,1621,15,4,2014,April,Tuesday,Adult,0,No,Postgraduate
Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,46,1,185,187,12,0,2013,December,Thursday,Middel Aged,1,No,Postgraduate
Graduation,Married,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,28,1,535,1443,22,2,2013,January,Thursday,Adult,1,Yes,Graduate
PhD,Divorced,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,44,0,2,57,6,0,2014,June,Friday,Adult,1,No,Postgraduate
Graduation,Divorced,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,63,1,445,637,20,0,2013,April,Wednesday,Middel Aged,1,No,Graduate
PhD,Together,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,66,1,220,948,14,1,2013,November,Thursday,Senior Citizen,1,Yes,Postgraduate
Master,Married,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,43,1,535,59,5,2,2013,January,Thursday,Adult,1,Yes,Postgraduate
Graduation,Married,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,28,1,352,18,4,0,2013,July,Friday,Adult,1,Yes,Graduate
Master,Single,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,49,2,616,903,26,0,2012,October,Sunday,Middel Aged,1,No,Postgraduate
Graduation,Single,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,39,1,494,112,8,0,2013,February,Wednesday,Adult,1,No,Graduate
Graduation,Together,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,61,1,411,596,20,0,2013,May,Tuesday,Middel Aged,0,Yes,Graduate
Graduation,Together,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,32,1,326,233,13,0,2013,August,Wednesday,Adult,1,Yes,Graduate
PhD,Married,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,39,2,569,1511,11,0,2012,December,Friday,Adult,0,Yes,Postgraduate
2n Cycle,Divorced,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,54,2,644,1152,17,2,2012,September,Sunday,Middel Aged,0,No,Undergraduate
Graduation,Together,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,36,1,503,48,7,0,2013,February,Monday,Adult,1,Yes,Graduate
Graduation,Divorced,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,44,1,455,1185,31,0,2013,March,Sunday,Adult,1,No,Graduate
Graduation,Single,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,56,0,92,21,4,0,2014,March,Saturday,Middel Aged,2,No,Graduate
Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,49,2,557,965,16,0,2012,December,Wednesday,Middel Aged,1,Yes,Postgraduate
Graduation,Married,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,60,1,423,869,21,0,2013,May,Thursday,Middel Aged,0,Yes,Graduate
PhD,Married,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,30,0,37,16,6,0,2014,May,Friday,Adult,1,Yes,Postgraduate
Graduation,Married,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,49,1,501,1947,16,0,2013,February,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Married,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,38,2,697,71,12,2,2012,August,Wednesday,Adult,1,Yes,Graduate
Graduation,Married,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,48,0,21,65,6,0,2014,June,Sunday,Middel Aged,1,Yes,Graduate
Graduation,Married,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,59,1,218,1380,24,1,2013,November,Saturday,Middel Aged,0,Yes,Graduate
Master,Divorced,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,38,0,155,1027,23,0,2014,January,Saturday,Adult,0,No,Postgraduate
Master,Married,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,49,1,261,411,21,0,2013,October,Friday,Middel Aged,3,Yes,Postgraduate
Graduation,Together,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,23,1,440,836,26,1,2013,April,Monday,Young adult,0,Yes,Graduate
PhD,Divorced,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,65,1,275,11,4,0,2013,September,Friday,Senior Citizen,2,No,Postgraduate
PhD,Together,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,61,2,691,480,23,0,2012,August,Tuesday,Middel Aged,2,Yes,Postgraduate
Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,1,382,606,23,0,2013,June,Wednesday,Adult,2,Yes,Graduate
PhD,Divorced,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,66,1,256,284,16,0,2013,October,Wednesday,Senior Citizen,3,No,Postgraduate
Graduation,Divorced,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,41,1,263,1472,14,3,2013,October,Wednesday,Adult,2,No,Graduate
Graduation,Married,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,65,0,61,1677,26,4,2014,April,Tuesday,Senior Citizen,0,Yes,Graduate
Graduation,Married,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,41,1,457,1335,19,0,2013,March,Friday,Adult,1,Yes,Graduate
Master,Together,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,62,0,26,334,13,0,2014,June,Tuesday,Middel Aged,1,Yes,Postgraduate
Basic,Married,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,25,1,468,18,4,0,2013,March,Monday,Adult,1,Yes,Undergraduate
Graduation,Together,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,45,2,689,1338,20,0,2012,August,Thursday,Middel Aged,1,Yes,Graduate
PhD,Single,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,61,1,463,1099,30,0,2013,March,Saturday,Middel Aged,1,No,Postgraduate
Master,Together,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,58,1,480,97,8,0,2013,March,Wednesday,Middel Aged,2,Yes,Postgraduate
PhD,Single,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,64,0,179,63,9,0,2014,January,Wednesday,Middel Aged,3,No,Postgraduate
2n Cycle,Together,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,36,1,332,109,9,0,2013,August,Thursday,Adult,1,Yes,Undergraduate
Graduation,Married,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,50,0,155,902,21,1,2014,January,Saturday,Middel Aged,0,Yes,Graduate
Graduation,Together,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,62,1,413,1574,20,1,2013,May,Sunday,Middel Aged,0,Yes,Graduate
2n Cycle,Married,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,39,1,202,38,9,0,2013,December,Monday,Adult,1,Yes,Undergraduate
Graduation,Single,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,19,0,112,960,24,0,2014,March,Sunday,Young adult,0,No,Graduate
Graduation,Single,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,44,1,287,28,4,1,2013,September,Sunday,Adult,1,No,Graduate
2n Cycle,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,60,0,151,1215,28,2,2014,January,Wednesday,Middel Aged,0,Yes,Undergraduate
PhD,Together,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,42,1,180,1497,22,0,2013,December,Tuesday,Adult,0,Yes,Postgraduate
PhD,Together,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,56,1,269,449,17,0,2013,October,Thursday,Middel Aged,1,Yes,Postgraduate
Graduation,Widow,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,39,1,186,1064,24,0,2013,December,Wednesday,Adult,1,No,Graduate
Graduation,Married,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,45,1,486,1757,25,4,2013,February,Thursday,Middel Aged,0,Yes,Graduate
Graduation,Together,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,35,0,58,1440,21,0,2014,May,Friday,Adult,0,Yes,Graduate
2n Cycle,Together,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,36,1,505,1006,24,0,2013,February,Saturday,Adult,0,Yes,Undergraduate
PhD,Together,62220.0,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,42,2,687,1226,23,1,2012,August,Saturday,Adult,1,Yes,Postgraduate
Graduation,Married,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,50,1,283,1171,20,0,2013,September,Thursday,Middel Aged,1,Yes,Graduate
Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,35,1,471,92,8,0,2013,March,Friday,Adult,1,Yes,Postgraduate
PhD,Married,38829.0,0,1,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,55,0,84,99,8,0,2014,April,Sunday,Middel Aged,1,Yes,Postgraduate
2n Cycle,Married,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,33,1,269,66,8,0,2013,October,Thursday,Adult,1,Yes,Undergraduate
Graduation,Single,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,47,0,66,564,19,0,2014,April,Thursday,Middel Aged,2,No,Graduate
Master,Married,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,26,1,244,1427,21,0,2013,October,Monday,Adult,0,Yes,Postgraduate
PhD,Single,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,36,1,415,86,6,2,2013,May,Friday,Adult,1,No,Postgraduate
